Class,ReviewTitle,ReviewText
2,A Great CD for all people,"I got this CD about a year and a half ago and I still listen to it. It is a very good CD with about 5 good dance tracks. Plus, the trumpet playing is great! I also liked on how smoothly the music and the vocals came together. This is truly a masterpiece"
2,"Beyond the mega-hit, preview of better things to come","Besides the much maligned mega-hit ""Tubthumping"" which I didn't like when it was first released but like now, this is a solid CD with great arrangements, lyrics, and performances. It's not perfect but how many CD's are perfect these days? I have recently discovered ""Ready Mades and Then Some"" - clearly a 5-star effort and a symposium on how to arrange a song. Masterfully done. I won't write a song-by-song critique here because several other reviewers have done a more than adequate job of that. However, I do put forward a challenge to ""rtbarry"" in AZ to move beyond his very own drivel masquerading as a ""review"", if he is capable, to explain in detail what in his opinion is lacking in this CD that rates it only one star? Or, does he believe we are supposed to obey his fiat review as if he were Kim Jong-il of North Korea? Otherwise, ""rtbarry"" don't waste our time with drivel."
2,It's Great!,This is really a great CD. Chumbawamba has many political and social thoughts. you just have to understand them.
1,The One Star,"The one star is for the only ONE good song on this cd. Tubthumping...Actually, this song blows after you hear it more than 5 times. This cd has only been in my cd player once...That is the day i bought it. If you like wasting money, buy this cd."
1,I won't buy one again,"I have had mine for about two years. I love the color it gives but it has also given me a lot of problems. Something has gone wrong with the memory inside making it impossible to print in ""best"" quality. An error message will pop up on my screen and then it will start printing out garbled junk. I've down loaded the latest driver--more than once--but with no success. It has been a waste of money to me--especially when ink cartridges are so high for it!!"
1,Non Computer Geek,"STAY AWAY FROM THIS PRINTER, I have had a Hp 1100 and had moderate success with it, after a few months the multiple paper pickup and jam problem kept occuring with no satisfactory fix, I just got this printer and it is even worse, it does not print correctly and multiple jams even after two hours out of the box, the copy was consistantly misaligned. I am sending it back."
1,Curved Thomas the Train tracks,"Again, a good product, but over priced. I would try to find some gently used ones."
1,O-o-okay,"Did I read a different book from everyone else? I thought this was horrible! I mean how demeaning to women to imply and then prove that a man would best a woman in strength every time. Even a woman with fighting skills. Then, this whiny main character that, regardless of all the obvious hands on facts that prove Sabin is an honest, honorable man, she still calls foul and continues to abuse him in the worst way. Yet, he continues to chase her, help her and love her regardless. When everything is added up, Moriah doesn't deserve a man like Sabin. Lastly, to top it all off, after she's unloaded abuse after abuse on him, he simply tells her he's a good guy and she's like, oh, well, in that case I believe you and I love you. How utterly stupid! His actions obviously mean nothing, but she'll listen to what he says--wham--bam!Terrible, just terrible!"
2,Heads above the first book in the trilogy,"I was so disappointed in the first book, Foundation, I gave it two stars. I've been wanting to read the trilogy for years and I couldn't believe that that mediocre pulp was it! But Foundation and Empire is the saving grace. I look forward to the next book."
2,Good book,"I liked this book. I don't really have anything profound to say, I'm only writing a review because for some reason Amazon is not giving me the option of rating the book without a review.Asimov seems to have an interesting twist on European history in this book, as the events that occur in it seem to parallel the fall of the Roman Empire, the successor Germanic kingdoms, and the rise of the merchant class in the Renaissance. Understanding the history of Western Civilization probably has given me a fun comparison to Asimov's fictional Galactic history."
2,Fantastic Sci Fi Classic,"The foundation novels are superb! I went on to read the entire original trilogy, the first foundation book being my favorite. The story jumps ahead by leaps and bounds between sections, which can be confusing at first but ends up making for a fantastic treat. Can't recommend this series highly enough for any SciFi fan."
2,Phenomenal,"I cannot recommend Foundation, and its entire series, highly enough. When it comes to worldbuilding, and examining the possibilities of earth's future, Asimov does it best. His entire basis is that intelligence, learning, and confrontation of the unknown will be our salvation, instead of ignorance or seeing who carries the biggest gun. A welcome change."
1,"Good politics, but no science","The book starts with an enticing psychohistory idea, but then it dives deep into politics. It is quite interesting to read the ingenious solutions for the crises taken by the great leaders of the Foundation, specially for resigning war whenever it seemed the most sensible way out.The problem is that this book is supposed to be science fiction, yet the story seemed to have happened back in the mercantilism period in the XVII century, with its priests, kings, viceroys and merchant ships trading raw materials for manufactured goods. The gadgets used by the traders to fool the other empires are a bit silly as well, for a far future based science fiction."
2,Asimow is one of the best writers of all times,"Foundation, and all the other books that complete the extense colection are wonderful. I remember when i read this book 8 years ago, and as you see i still love it. If you don't want to read all the books of the series, you don't have to do it, the saga of foundation it's only three books (foundation, foundation and Empire, and Second Foundation), but if you want to read a good, good, GOOD,GOOOOOOOOOOD series of books, read them all, you won't regret it. I really loved all this books."
2,Classic,"Isaac Asimov is an exception author in any genre, he just happens to write in science fiction. His Foundation novels are at the apex of classic science fiction. If you are going to read only one book in this genre then this is the one to choose. The universe he creates is so vivid that the book is difficult to put down. In case you couldn't tell.....I am a fan!"
1,Don't Bother,"Prelude to Foundation is excellent. However, you should stop there. Foundation is bad. This book is totally predictable. Read DUNE if you want something intelligent and entertaining. Read FOUNDATION if you want something that you probably won't even finish."
1,tough going,"I got pretty bogged down with the multiple characters and places and time periods. Not a good book to pick up occasionally, takes a focussed reading. And that's just one of the series!"
1,Dissatified,"I was dissatisfied with this novel. Being an avid fan of Asimov and the Foundation series,the younger version of the mathimatical genius did not match with older one who changed the history of his race for the better; nor did I think that the story with female very appealing, again it did not match. The story seemed tacked on to the series just to write another novel. It is unfortunate that the writer who invented the positronic brain,the three law of robotics, and of course the genuis of the foundation series wrote such a tacked on story."
1,"Goes ""Haywire"" Regularly","Setup was easy enough, but this printer routinely goes haywire, spitting out a whole cartridge load of paper and refusing to print. I have tried it with several different PCs, with this same intermittent weird behavior. Only a reset of both the printerand the computer seem to fix everything.I'm off to buy an Epson!"
2,"Old fashioned, sweet story.","Not much of a challenge to read. Enjoyed it just the same. It was a change from the modern world and therefore, I recommend it."
1,Stay Away,This just plain bad. Boring..... I did not find this the least bit entertaining nor interesting. It was a waste of my time.
1,worst.........movie............ever,"Go break open a red light camera and steal the film. Watch that. It will have 10,000 times better acting and a much more coherent plot too!"
1,Blu-Ray Review,"What a terrible movie, garbage. It totally sucks. What is Hollywood coming to. It seems they are running out of stories to make movies about. What garbage. Good Lord. Right up there with Boondock Saints 2 and Smokin Aces 2."
1,LAST Nicolas Cage film for me!,There is not ONE redeemable quality about this film. Period. Nicolas Cage is at the bottom of the barrel. He now has absolutely NO range. The acting in this was worse than a low budget B movie. I think he seriously was on something! So here we are New Orleans Post Katrina. Nic is supposed to be a tough guy and gets into all kinds of trouble. I couldn't figure out who was coming or going. I was baffled the entire movie! The lines were HORRIBLE! PLEASE SAVE YOUR MONEY!
1,What did I watch?,So he's a dirty cop and an all around horrible person. Spoiler... Everything worked out in the end? What the heck was the point of that movie? Seriously... everything worked out in the end?I don't know why I continued to watch.
2,Great Writing,"I think the above review needs a corrective. Tynan was the sharpest, funniest, and best-informed theatre critic of his generation. He was also a wonderful stylist, and a precocious one: many writers never write as well as Tynan did while still in his teens. These letters can be enjoyed simply for their manipulation of language, but there's more to them than that. Tynan always liked to think of himself as an outsider, as someone pushing the envelope; yet he also was entranced by the establishment at play, and he enjoyed lowbrow entertainment almost as much as Shakespeare and Sophocles. These letters demonstrate this bifurcation of character, making for a sort of un-selfconscious autobiography. Well worth buying for anyone who likes reading letters, and a must for Tynan fans. when can we have some more of his work reisssued?"
2,If you can't make it to Mongolia this season....,"Mykel Board -- punk rocker, New Yorker, gonzo provocateur -- fulfills a lifetime dream by moving to Mongolia for one year to teach English...and I'm so glad he did. His easy-to-read writing style is brutally honest and hysterically funny, from his problems overcoming constipation (because Metamucil is not sold in Outer Mongolia, Board resorts to consuming rancid street food to encourage diarrhea), to his visits to Mongolian dance clubs, to the confusing hurdles presented in this post-Soviet limbo land (""Welcome to Mongolia!"" is the standard response from natives when cultural idiosyncracies are brought to attention). Unlike most travel memoirs, there are no overwrought or pretentious analyses of a foreign culture -- even though there were times that I, a fellow traveler, longed for Mykel to take a deeper look at this rarely examined country -- making this book a fun, unrestrained ride through a remote, Kafka-esque kingdom. Buy this book."
1,Banal and Boring,"No, I'm not making this up. Somebody actually produced this recording. Actually, two people produced it. Nearly two string quartets were assembled to play on it. (I say ""nearly,"" because most of the tracks were played by a trio, who apparently used overdubbing to inflate themselves into a quartet.) I'm not sure that any string quartet could have made this music seem appropriate or entertaining: these folks certainly were not up to the task. The end result is so banal and boring that it does not even work as a novelty record that might be fun to play at parties. Unbelievable..."
2,GREAT ITEM,I find this item to be more than expectedand I think everyone should consider buying oneI will tell everyone about it
2,Amazing Score.,"Wow, words can barely express the awesomeness of this piece. First I will start with the movie, brilliant! That is all there is to be said about the film. Now the OST, beautiful work. A very dark and somber piece, very moody and atmospheric. Its not something you just listen to for fun, at least for me. Its more of a background music, while doing your business. Its just brilliant. Every track in amazing from beginning to end. I was unfamiliar with Johnny Klimek and Reinhold Heild's work. This cd however makes me want to definatly look into it. It is the perfect sound to go along with the dark nature of the film. Some tracks are very tranquil and moody, while others pound out beats and are very fast paced. All in all a 5/5 for the cd, a definate must have for any collection! Highly recommneded!"
1,Do not buy this camera,"Its a very nice camera don't get me wrong. However due to its compact design, the speaker is too close to the tape motor. During quiet and not so quiet areas, you will hear a high pitched humm coming from your camera as well as on what you record. Canon confirmed this as a design flaw. The ZR45, 40 and 50 all do this. I was really disappointed, I returned mine.. I wish there was a way to fix it."
2,Brio Medium straight track,BRIO is the most durable and has the best quality wooden train on the market. These pieces are a must for extending your existing train set. My 5 year old loves having these extra pieces to create with.
1,It's too simple even for a KISS book,"I know the whole point of ""dummie"" and ""KISS"" books is that they are supposed to be easy for anyone to understand but this book was too simple--too basic. I read a chapter and could hardly bear to invest anymore time in it since the information was so sparse. If I hadn't gotten this book for a steal I would have been very upset at my waste of money. There was just no real information. What a waste."
2,Quality from Tripp Lite as always,"I always goes with the Trip Lite fiber patch cables, due to their quality, and not being so proud of their name they triple the price."
1,awful,Big waste of money! After washing noticed 1 pillow case was a different shade and so wrinkled no matter what I've tried. Stuck with it since I washed and can't find packaging.
2,Good grill for the money.,"I've been very happy with this easy to use and clean grill. I've used it to grill steaks, duck breasts, veggies, and chicken. Takes longer than a gas grill, but gets to job done without smoking up the kitchen."
1,Excessive Typos Ruined it for Me,"Couldn't agree more w/ Prendergast's review concerning the laughable typos. I thought the proof reader or editor of the version I had must be abusing drugs themselves! How distracting to read a so called ""classic"" and find it reading like a HS sophomore paper - and a drunk sophomore at that! I somehow managed to finish the book, but came on Amazon immediately following it to see if others read the same erroneous version. Weird. Typos, poor punctuation, etc. ruined it for me."
2,entertaining action movie SPOILERS,the main reason why i waited up until 2 in the morning cause i am a fan of chris lambert i saw it id say it was excellent of the action and the acting done by chris lambert and ice t.Great action AND I WAS DISSAPIONTED when christopher lambert was told by marcus that he killed his daughter when he didnt and so they killed each other and that ugly old woman who can t even act probably old enough to look like shes 50 mabye she is.So it was very entaining worth a watch.
2,one more positive note,"Don't know if anyone else has addresed this. I have been building my barn shop for 7 years now. The book covers many of my thoughts and concerns. Would have wanted this sooner than later. Points raised for consideration. Noise and sound. I put in some wood walls, painted white and sealed against moisture, but I fussed with that or drywall. I considered my own sound issues and went with wood. But after reading some of the author's comments I will be spending extra time for fire protection and sound absorption when I do other parts of the shop. Not for me alone, but for my nieghbors as well. Good book to read before, during or contemplating a shop. Hey, we get to find out about how the masters of wood roughed it as well."
1,Criminally stupid mistake to not provide the orginal sound,"Don't buy this Video. With DVD technology it would have been a no-brainer to provide both sound tracks, the original Aussie version and the rotten American dubbed version. These dopes chose to give us the one that nobody wants. Perhaps if nobody buys it they'll get a clue."
2,This is the movie that introduced me to the awesomeness of action movies of the 1980's,"This is probably Mel Gibson's first film. A film he's done while he was in his 20's. There is no doubt that he would become a great star in his native Australia, but this film launched him as an international movie star. Especially since they released Mad Max 2 which was universally released as ""The Road Warrior."" And ""The Road Warrior"" is one of my Top Ten favorite films of the 1980's.Sure, Mad Max has some of that cheesy seventies style, but it definitely introduced us to a new kind of nameless hero which became the common theme of all upcoming action films even being made today.""Mad Max"" is that one film, being over 30 years old, that can still be loved and cherished by people even less than 20 years old today. This film is a classic in the ""action hero"" dramas for movie lovers who enjoy building a respectable movie library amongst their own home theatre."
2,Great DVD packed with a ton of features!,"I've seen Mad Max dozens of times, but after watching the new SE DVD it was like watching it again for the very first time! That is not an exaggeration. The new DVD offers the choice of the poorly dubbed US soundtrack or the original Australian soundtrack. Watch the original track! The pacing of the film changes entirely, as do the characters. The original soundtrack breathes new life into this film.The features are great, there's a trivia track that pops up info about the production, cars, and Aussie slang terms used as you watch it, 2 documentaries, TV spots, theater trailer, and more.The print is fabulous, and it turns out this is a film you really need to see in widescreen. Having seen it both ways now I can tell you that the pan & scanned version misses a lot of the stuntwork and chase scene action. If you've seen this movie in the past and thought, 'It was OK' this new DVD will have you saying, 'It was great!'"
1,AWFUL,"This was the absolute WORST book that I have ever read. It the dullest, most boring thing since I learned algebra. After the first chapter, I already wanted to kill myself. But I gave it another chance. And another, and another, and another. I was continually dissapointecd. DO NOT WASTE YOUR HARD EARNED MONEY ON THIS ABORATION OF A BOOK!"
2,"Oh, my God! It's Stereolab!!!","Ever since I got this album since last summer, I kept on thinking what this album will sound like. I never wanted to stop listening to this album, because their music is so spectacular. If you heard the first track, Laetitia kinda does the loud humming and someone keeps on playing the synthesizer. It reminds me of the Beatles' eerie song ""Revolution 9"" from the ""White Album."" I could've just imagined while listening to ""Baby Lulu"" and it makes your mind clear with soothing and beautiful sounds. This is the best album I've ever heard, and I listen to this album while I study and you should listen to this while you're at work or home. Stereolab totally gets your stresses away by listening to them. Bye-Bye! :-)"
2,Perfect Family Fun!!!,"This is a very funny movie that stars Martin Short as Murray, a bumbling fairy god-mother who can hardly do anything right. His first job is helping Anabel Greening, played by Mara Wilson. Anabel's wish is that her dad is auditioning for a part in a broadway musical, and she wants him to get the part. Unfortunately, Murray accidentally turns her dad into a statue. When Anabel, her brother Charlie, and Murray go to NAFGAa and tell the Queen of the Fairy Godmothers what happened, she tells Anabel that if they don't reverse the spell by midnight, he will remain a statue forever. Before they can do that, they have to get the wands back from the evil Claudia. I highly recommend A SIMPLE WISH!!!"
2,Great kids movie,The Kids loved this movie Martin Short is hillarious. The fact that it still teaches kids you dont always get what you ask for.
2,Funny,"This movie has the little girl from Matilda and Martin Short. Good family picture , we loved it. Came in excellent condition!"
2,Excellent Album,I have known Kenneth copland since 1973. He has always set very high standards for the recording & prpduction of all his albums. This album is no exception.
2,Well Played Kid's Music,"Trout Fishing In America make kids music, they do it well, and the album probably will stand up to the death play the kids will give it, even with adults, although I highly doubt many adults will listen to it for it's own merits. If you need a CD for your kids to listen to that won't drive you crazy, you have found it, but otherwise this is probably not a CD you want to own."
1,Highway Robbery,"It always amazes me how some outside vendors try to gouge consumers with their highly over-priced items on here. You can bet I'll never buy anything from this vendor, even if it is a great deal.This is a ridiculously high price for Red Bull. On sale in the stores one can find it for $1.50/can. Why would someone pay more than that online? Caveat emptor --- let the buyer beware!"
2,well....,"i also really loved the book. it showed two strong willed people who are, at first glance, totally wrong for each other! i mean, a centuries old vampire, and a vampire slayer? it was ironic! i also liked that even though Quin was a cold fish on the outside, inside he was just as lonely as Rashel, even if he rarely admitted it. i loved the book and couldn't put it down! if u haven't read it yet, do so!"
1,Where are the woodwinds?,The performances seem fine. The recording is a mess. The woodwinds are LOST in the intro to Festive Overture because there is too much reverberation. The mics must have been placed in the back of an empty hall (more like a cavern). This is a real disappointment because the orchestra is outstanding. This is a one listen CD... then file it away forever.
2,Vivid colors; tight fit only lasts a few times,"This puzzle has lovely graphics and a sturdy construction. As others have mentioned, the pieces are tight and difficult to maneuver right out of the box, because they are all wood and cut from one piece. After about three uses, however, they are now smooth and fit together well. I have not had a problem with splinters, but if you are too rough when you first break apart the pieces, I could see how splinters might develop.My 21-month old daughter loves this puzzle, and had no trouble putting it together without a visual ""guide."" The colors of each area are very distinguishable, so it's pretty easy to determine where each piece connects. We are happy customers!"
2,These Shoes are made for walking.,"In the Merrill way these are great shoes. As my daughter says, ""Merrills are a hug for the feet."" Even though there are minimal straps they are in the right places and adjustable. These go everywhere! I love them."
2,Persuasive book with an unusual approach,"The book details many or most of the important dynamics of the war as it took place within a single provice. In the process Bergerud reveals much about what is important to know about the war as a whole.For me personally this is possibly the most important Vietnam book I've read. This is because it provided me a framework for understanding the war, from the beginning of American involvement to the end, that I still use.For many readers, this could be an important first book to read about Vietnam and America's relations to it."
2,Another Sensual Gem from this Composer,"This is yet another lush, shimmering pscyo-erotic opera by Franz Schreker, wonderfully performed by the forces involved -- I suggest you just read the review of 02/12/04 to get a good summary of the surreal plot. At least one other reviewer has termed it not as a good as the composer's masterpiece, Die Gezeichneten, and while I wouldn't disagree with that judgement, this music drama comes pretty close to matching its sibling, particularly in the second half. Other than Mozart, Bizet's Carmen and a small handful of others, I'm not a great opera fan but Schreker's output in this genre to be absolutely stunning. Highly recommended."
2,Kingston Technology KVR133X64C3/ 256 PC133 256MB 32MX64,Works great. Just snap it into the slot and turn on my pc. In a few seconds I was up and running and my pc working much faster that before
2,You'll enjoy this CD,"I got a huge kick out of Vinny's interpretations of the Beatles' songs that they never recorded. Sure. they ver due elements from the later years that they should have skipped, as has been written here. But the don't mimic previous covers, but try to recreate the early Beatle sound. It's light and it's fun. It's is not a must have as a Beatles fan, but I think you'll get a big kick out of this disc."
2,Madonna is a great singer,"Madonna is a great singer who sings an even better musical. She is so full of emotion that on her last wispers of ""Lament"" it actually sounds like she is about to enter immortality. While in the song ""Beuonos Aires"" she sounds like a ambitious young girl yelling for attention. She is a great actor. If I could change one thing it would be to switch Jimmy Nail and Jonathin Pryce because Nail should sing more songs and Price should sing less."
2,EVITA! EVITA! EVITA! EVITA! EVITA! EVITA!,All I can say is wow! I never thought Madonna could sing like this. Now I am a huge fan of hers. Antonio Banderas's accent makes him fit the part of Che very nicely. The songs are incomparable. If I could change one thing it would be Jonathan Pryce because he has an annoying voice.
1,Disappointed in product quality and support,"After returning the first version of this product because of constant paper jams, the replacement would not recognize the printer drivers from the first or allow me to replace them. In trying to overcome this through HP's support line, the recorded message said I would be directed to a representative and then promptly cut off the call (twice). Returned that version also."
2,A text book worth keeping for reference,"This is a text book that I will not be selling back! I like the reference style set-up, with tabbed pages. I am sure I will be referring to it throughout the rest of my college courses."
1,"A small leak, right out of the box","I had to try sleeping on it the first night - in a couple of hours it was less firm, which made it difficult to roll around on. It didn't take long to realize that buying this bed was a mistake.Returning it will be very difficult because it is almost impossible to fit it back in its original carton (because one cannot evacuate all of the residual air necessary to make it fold up small enough). Prospective buyers should be mindful of this."
1,Did not last long,"We used this for less than 21 days for a guest. It does everything as advertised except that it began to leak air; by the time you wake up in the morning, it has shrunk to less than half it's inflated height. There is a patch kit included but we could not find where the air was coming out. We had to return it to Amazon. We bought a single folding bed instead with a memory foam mattress, not compact but less risky than an airbed."
2,It's a great value!,"I purchased a twin size Intex pillow airbed and was so impressed with the quality that I ordered a second. It was easy to inflate, held it's firmness, was VERY easy to take down and easily stored. Now when my granddaughters come to visit, they have their own bed and great pajama parties."
2,Great bed for guests,"I highly recommend this item, and it's a great price with Amazon Prime.My son uses this whenever he sleeps over. He loves it, says that it's like sleeping on a cloud. With the electric pump, which is attached, it inflates and deflates super fast. It also folds up into a rather small rectangle, and it comes with a canvas bag for store."
2,comfortable sleep,"I found this air bed to be perfect for 1 person. The ease in filling, the height, all exceptional!I would reccomend this bed to anyone."
1,Intex Pillow Rest Twin Airbed with Built-in Electric Pump,This product is very difficult for me to use. The air pump does not connect easily and I would not recommend it.
2,Great Bed for Guests,Bought this for my Grandson to sleep on when the family came to visit over Christmas. It is wonderful. . . super easy to inflate (and deflate) nicely raised off the floor and he said it was very comfortable. Grandma scored a home run on this one!
2,Intex pillow rest twin airbed with built in electric pump,"Excellent value for the money. Convenient and comfortable, I just wish it was a little higher. I would recommend this product."
1,Do Not Buy,"Inflates like a charm, then deflates under the weight of a child within 3-6 hours, I should have gone with my gut and purchased another Aerobed because the one I already have (queen) has worked for > 7 years."
1,It would be great if it stayed inflated!,"I have purchased two of these air mattresses. When inflated, they are great. But, during the night, they slowing deflate. I have yet to discover how to keep these mattresses inflated for eight full hours. I wish I would have bought a different air mattress."
1,Valve broke after a couple of uses,"My mother bought this bed for my 5 year old to use when we visited on weekends. Worked great the first 4 or so times she used it. But now the valve that lets the air out won't close. It spins, but does not seal shut so you can't inflate the mattress. Very poor quality."
2,Ecelente producto,"Funciono sin ningun inconveniente de acuerdo a lo informado en las caracteristicas.Recomiedo el mismo a todo el que necesite un colchon inflabe comodo y de rapido armado.Muy bueno el sistema de bomba de aire incorporado al mismo elemento, no esnecesario nada mas para utilizarlo."
1,WOULD NEVER BUY AGAIN,"THIS IS THE THIRD MATTRESS IN 5 OR 6 WEEKS AND HAD THE SAME PROBLEM WITH ALL THREE. THEY ALL LEAKED RIGHT FROM THE BEGINNING, SOME WORSE THEN THE OTHERS. THE BUILT IN PUMP WORKED GREAT AND I LIKED IT VERY MUCH. THUS THE 2 STARS INSTEAD OF ONE STAR. I AM VERY THANKFUL FOR AMAZON'S GREAT RETURN POLICY. IT WAS REALLY A PLEASURE TO DEAL WITH THEM."
1,Intex pillow rest twin mattress is a flop,"We bought these beds in September for our grandchildren to sleep on when they visit. They are 6 and 7 and weigh under 50 pounds. These beds can not make it through one single night inflated. We either have to get up during the night and re-inflate them or the kids will wake us up because the mattresses have lost so much air they are uncomfortable.We've had to repair both beds because they develop pin holes from being folded when we put them away and you can hear air escaping around the area where the beds inflate themselves.I'm very disappointed in this product and will not buy another air mattress from this company since it's clear their quality has gone down hill drastically since we bought their double bed seven years ago.My opinion is ""save your money and find another solution for guests to sleep on"", that's what we're doing now."
2,Comfortable,"I bought this air mattress after researching the site. It is indeed very comfortable and easy to operate and most important of all, NO LEAKING!!!"
1,Disappointed but shouldn't be surprised,"I saw several people had written about air leaks but at that point the majority appeared to be happy with their purchase. We ordered two twins for our camp. Mine started leaking immediately. My husbands seemed to be good from Spring to nearly Winter when his too began to leak, so bad that both of us were pumping air several times during the night to keep a little bit afloat. That was bad enough but having several friends and family in our bunk house part of the camp awake while doing this pushed it over the edge. My father in law bought the same time my husbands started going down hill so it should be interesting to see if it happens again. Our camp closes down during Winter so Spring will be the big test. I suspect we will go with something a little more expensive and not regret wasting the money we did on these. Then again my hubby is very good at fixing things so maybe there's hope."
2,Works well,The air mattress does blow up in seconds. It is comfortable. It is a little difficult to wrap up and the plug is a little difficult to put back but all and all it was well worth the money. My daughter is using it until she can get her new baby to sleep through the night.
2,Great for the summer,"My daughter is living with a couple for the summer. This was an alternative to transporting a regular twin bed 80 miles to their house. She has been very pleased with the quality and ease of use. That is a big deal with her as she has two steel rods in her back. As a college student and missions student, I'm sure it will be used again."
2,Quick and Easy,"This bed is so easy to use. Just plug it in, turn it on, and walk away. The pump is built in, so you don't have to worry about keeping up with an air pump, using a hairdryer, or finding double D batteries to power your pump."
2,Love it,"We recently moved into a smaller place. When my parents came into town, they took my oldest sons room. We needed something for him to sleep on but didn't have much room. This twin airbed by Intex is great! I love the fact that the pump is built in. It doesn't get in the way like I thought it might. My son says it's very comfortable. It's easy to inflate and deflate."
2,Great Find at a Great Price,I needed to replace my airbed but didn't want to spend a fortune. This one works great and it was very economical in comparison to the ones I found in my local bed and bath store.
2,"Its better then a ""normal"" bed","I just moved out of my moms house and I did'nt want to bring my huge bed/dressar with me so I got the airbed. Its been 2 months since I moved out and I'm still sleeping on it. You can have it fully inflated for a very firm bed or deflate it for a softer bed. I like mine halfway deflated, its like sleeping on a cloud."
1,Electric pump failed,Took it to France and electric pump only worked for a minute and blew. Bought a hand pump to pump it up. It was a painful job. After it was fully pumped the bed was rather comfortable. Decided not to bring home to return because once it was pumped there was no way to deflate to the extend that it would fit back into the original box.
2,Excellent product for the price,"Durable and EXTREMELY comfortable. Loses a little air over extended use, but adding air very easy."
2,great mattress,I am in Iraq and this mattress is great. It is 100x more comfortable then the things they call mattresses over here.
1,Would not recommend,"I bought this for my off campus residence, and the two months it worked fine...and then the problems began. First, two the curves on the top (not sure what exactly they are called) merged into one so I had to sleep on one half of the bed. Recently, I noticed it was starting to sink and re-inflated it. Shortly afterward I heard some air and found where it was leaking and didn't think too much off it. Then in the middle of sleeping I woke up on the floor and then just gave up on it, and now am having to resort to sleeping on the floor. Tried calling their customer support line and it was backed up, then I found out that the main support line is for their pools. I would recommend a different brand like Coleman, or getting something from Cabela's."
1,Is loosing air with ALMOST NO USE!!,"I bought this airbed on October 2009, I only used it 3 times and now is loosing air!! How can it loose air like that with only 3 uses?? At the beginning it seams good because is comfortable and tall, but now I can't use it anymore unless I want fill it with air at the middle of the night."
2,The Best Air Mattress EVER!!!,I love this air mattress so much. It is so easy to inflate and deflate and it is quick too. It is very sturdy and durable as well. Over all it is an excellent gift to anyone who expects to travel and stay over at someone's place or even if you have a lot of guests yourself
2,Fantastic,"Bought the Intex pillow rest for visits/visitors. Inflation is quick, quiet and easy. Deflation works the same. Slight loss of air by early morning. Fits back into tote nicely, take an extra moment when flattened to tuck the sides between the upper and lower fabric, fold in thirds length wise, then role from bottom toward pump/pillow end. Easy to tote and store."
2,Better than the Queen size bed,"I bought this to replace my queen size Intex bed that exploded inside (only lasted 6-8months...). I like the twin size way better because it feels more reliable with full air than the queen size. I think the queen size was just too big that too much weigh in one area caused the explosion inside. The twin size is just perfect and it makes my room look even bigger. If you're looking for a bed for just yourself, this should be perfect!"
2,Step's Best Work So Far!,"I have been a fan of Step Rideau and the Zydeco Outlaws since I purchased their CD ""Standing Room Only."" ""I'm So Glad"" has quickly become my favorite. Some tunes are folksy with a zydeco flare and others are very zydeco. This is a ""must buy"" for zydeco lovers. If the Grammys had a catagory for zydeco, Step would win for performer of the year."
2,200 bucks?,"I paid 95 at comp usa (known for being overpriced) over a year ago.anyways, The case doesn't get the best air so I'd recommend getting more fans.If you have problems with the front USB hubs (pc freezes when you plug something in them), unplug the very BOTTOM black wire.[r|r][w|w][g|g][b|b][b|[]"
2,DVD review,Very good comprehensive review on The Band. Gives good insight into the individual members and why some of their songs were written. A good addition to my collection.
1,Not worth the money,Not what I thought I was getting. I don't think jell is as enjoyable as the silicone and unfortunately I had to pay to find out.
2,good,"It was good, is not like out of this world and really amazing, but it works soooooo good! If you put a lot of pressure when your using it, it turns off automatically, that sucks!"
1,Too Expensive,"I used it once and have not touched it since, the dolfin wont stay on my clit and the clear stuuf is too soft, Waste of MONEY"
1,No way!,This product worked for 4-5 times the the rotation stopped working. Batteries run out or lose power after 3-4 uses. I would read reviews before buying another one... I am looking into the Hitachi wand massager now and I believe I will buy it since is a power operated toy and will never run out of power.Not impressed with this product.
1,Not worth the money,"What a let down. I was so excited to get this because of the reviews, but when I tried it, it did nothing. First, it is very heavy and hard to hold (if you are using it by yourself). Second, it hurts your clitoris. It is very sharp on the ears, that's the part that goes on you clit. I'm almost temped to cut them off. Third and forth, it smells and it is very loud.I've tried it about 4 times, trying to get used to it. My husband has tried to use it on me too. No luck at all. This is not worth the money."
2,GREAT prodct,"For those wondering, like myself, this DOES come in a discrete package. Now, as for the actual product? OMG I've never felt something like this before. This is my first official toy, and I am sooooo pleased! It's a little large, and kinda hard but that's okay. Works wonderfully. I would definitely recommend, especially for the price."
1,Awful,"This was much bigger then I had anticipated, that being my own fault. But the reason I gave it only 1 star is because the plastic was so hard it hurt! The bunny for my clit irritated it and was not one bit pleasurable. So my man suggested I turn it around and then my taint became irritated! Not one bit pleased with this product."
1,Too big!,"While I LOVE the jack rabbit feature, the vibrator is overall too big for me to use. I can sort slip it inside but its tight and not very comfortable. Maybe because its too big, I cannot feel the beads at all, I don't think they have any room to move. The vibrator is also quite heavy. It would be perfect if it were more slender. So girls who are not very big down there might not want to buy this product."
1,Awful!,"I was misguided by the review ratings... in all honesty, this product is awful. It has a toxic smell to it, and the ""bunny ears"" cause more pain than pleasure. I don't recommend this product."
